x  trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,customer_id
295780,12/26/2023 0:55,5.79516E+11,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0,
825718,07-07-2023 07:02,4.12611E+15,,entertainment,9139.49,Bhavin,Roy,M,,Rourkela,Meghalaya,,-8.62593,,Comptroller,10/20/1994,-14.437954,-8.607795,,6.24E+18
165012,4/25/2023 11:53,6.56321E+15,fraud_Hans-Kanda Pvt Ltd,entertainment,7568.37,Yuvraj ,Madan,M,"04/41, Bawa Nagar, Khammam 816522",Jalna,Mizoram,76.1969725,102.564244,380244,Probation officer,10/18/1963,76.214025,102.567219,0,-2.61E+18
,5/28/2023 18:26,3.53134E+15,,entertainment,9074,Drishya,Bumb,F,"53/26, Chana Ganj, Varanasi 329560",Bharatpur,Chhattisgarh,27.8408555,93.934433,440893,,4/27/1996,27.838502,93.950223,0,2.19E+18
742125,2/15/2023 18:55,4.80055E+12,"fraud_Agate, Varkey and Luthra Pvt Ltd",entertainment,5056.81,,Lal,M,"43/32, Yohannan Zila, Udaipur-067444",Nizamabad,Jharkhand,81.974419,71.656847,308606,Chiropodist,1/19/1994,81.959219,71.668432,0,-5.21E+18
605763,06-10-2023 12:09,2.13121E+14,"fraud_Bhardwaj, Vaidya and Walia Pvt Ltd",fitness_and_medical,353.55,,Malhotra,M,,Bahraich,Karnataka,,-148.053492,377788,Engineering geologist,9/18/1975,-16.607856,-148.038555,0,
650365,03-02-2023 21:54,3.03688E+13,fraud_Bhatti PLC Pvt Ltd,,7292.34,Lakshit,Sarin,M,"22/940, Kata Ganj, Pudukkottai-345593",Satara,Assam,57.053798,-20.732788,377329,Tour manager,3/26/1947,57.035884,-20.719375,1,-3.35E+18
355859,06-10-2023 01:38,3.03382E+13,fraud_Badami-Chahal Pvt Ltd,fitness_and_medical,8760.33,Shaan,Gola,F,"67, Kalla Ganj, Karaikudi 422121",Bokaro,Meghalaya,10.800613,128.719889,668665,"Therapist, drama",7/21/2000,10.786513,128.737108,0,1.35E+18
485625,06-03-2023 20:16,6.01138E+15,fraud_Wason and Sons Pvt Ltd,entertainment,6729.28,Lavanya,Tak,F,"356, Wadhwa Circle, Satna-618320",Gwalior,Telangana,27.408664,-68.82537,590253,Armed forces training and education officer,05-04-1940,27.395461,-68.827501,,-3.07E+18
110711,06-07-2023 07:13,4.59041E+15,"fraud_Savant, Bhardwaj and Lata Pvt Ltd",travel,8186.72,Divij,Agrawal,M,"74/000, Kara Chowk, Rourkela 653358",Rampur,Uttarakhand,27.2517865,-90.896522,738101,Plant breeder/geneticist,,27.232074,-90.885213,1,-9.05E+18
